Level,Hierarchical structure,Code,Class title,Class definition
4,Unit group,0121,"Insurance, real estate and financial brokerage managers","Insurance, real estate and financial brokerage managers plan, organize, direct, control and evaluate the activities of departments or establishments that provide insurance, mortgage, real estate and investment services. They are generally responsible for business development and must ensure that their group reaches performance levels related to established objectives. They are employed by insurance companies, real estate firms, stockbrokers, investment dealers, mortgage brokers and security and commodity exchanges."
4,Unit group,0122,"Banking, credit and other investment managers","Banking, credit and other investment managers plan, organize, direct, control and evaluate the activities of financial establishments or operational departments within such establishments, or credit departments in industrial and commercial establishments. They oversee business development and manage overall performance in accordance with established strategic directions and policies. Banking managers are employed by banks, trust companies and credit unions. Credit managers are employed by credit departments in department stores, utility companies, car dealerships, insurance companies or other industrial or commercial organizations. Other investment managers are employed by credit card companies, consumer loan companies, mutual fund investment firms, mortgage investment companies or other financial establishments concerned with extending loans and financing and investments."
4,Unit group,0124,"Advertising, marketing and public relations managers","Advertising, marketing, public relations and e-business managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial and e-business advertising, marketing and public relations. They are employed by commercial and industrial establishments, government departments, and advertising, marketing and public relations firms or consulting businesses."
4,Unit group,0125,Other business services managers,"Other business services managers plan, organize, direct, control and evaluate the operations of establishments that provide services to business, and ensure the quality of those services and client satisfaction. They work in fields such as management consulting, market research, personnel and payroll services, contact centre services and security services."
3,Minor group,013,Managers in communication (except broadcasting),"This minor group includes telecommunications carriers managers, postal managers and courier services managers. They are employed by wired, wireless, satellite and other telecommunications carriers, courier companies and Canada Post Corporation."
4,Unit group,0131,Telecommunication carriers managers,"Telecommunication carriers managers plan, organize, direct, control and evaluate the operations of a telecommunications establishment, department or facility. They are employed by wired, wireless, satellite and other telecommunications carriers."
4,Unit group,0132,Postal and courier services managers,"Postal and courier services managers plan, organize, direct, control and evaluate the activities and operations in postal facilities and in establishments that provide courier services. They are employed by Canada Post Corporation and by courier companies."
3,Minor group,021,"Managers in engineering, architecture, science and information systems","This minor group includes engineering managers, architecture managers, science managers, computer managers and information systems managers. They are employed throughout the public and private sectors and by government establishments, consulting engineering and scientific research companies and architectural firms.  Occupations in this minor group are classified into the following unit group(s): 0211 - Engineering managers 0212 - Architecture and science managers 0213 - Computer and information systems managers"
4,Unit group,0211,Engineering managers,"Engineering managers plan, organize, direct, control and evaluate the activities of an engineering department, service or firm. They are employed by a wide range of private sector and government establishments and by consulting engineering and scientific research companies."
4,Unit group,0212,Architecture and science managers,"Architecture and science managers plan, organize, direct, control and evaluate the activities of an architecture, landscape architecture, scientific or statistical department, service or firm. They are employed by a wide range of private sector and government establishments as well as by architectural firms and scientific research companies."
4,Unit group,0213,Computer and information systems managers,"Computer and information systems managers plan, organize, direct, control and evaluate the activities of organizations that analyze, design, develop, implement, operate and administer computer and telecommunications software, networks and information systems. They are employed throughout the public and private sectors."
3,Minor group,031,Managers in health care,"This minor group includes health care directors, chiefs and managers. They are employed in hospitals, medical clinics, nursing homes and other health care organizations."
4,Unit group,0311,Managers in health care,"Managers in health care plan, organize, direct, control and evaluate the delivery of health care services, such as diagnosis and treatment, nursing and therapy, within institutions, and in other settings, that provide health care services. They are employed in hospitals, medical clinics, nursing homes and other health care organizations."
3,Minor group,041,Managers in public administration,"This minor group includes public administration managers. They are employed by government departments, agencies, and legislative bodies."
4,Unit group,0411,Government managers - health and social policy development and program administration,"Government managers in health and social policy development and program administration plan, organize, direct, control and evaluate the development and administration of health care policies, social policies and related programs designed to protect and promote the health and social welfare of individuals and communities. They are employed by all levels of government."
4,Unit group,0412,"Government managers - economic analysis, policy development and program administration","Government managers in economic analysis, policy development and program administration plan, organize, direct, control and evaluate economic policy, research and programs in areas of government activity such as taxation, international trade, labour markets, transportation or agriculture. They also plan and direct policies and programs to promote industrial and commercial business development in urban and rural areas. They are employed by all levels of government."
4,Unit group,0413,Government managers - education policy development and program administration,"Government managers in education policy development and program administration plan, organize, direct, control and evaluate the development and administration of elementary, secondary and post-secondary education policies and programs. They are employed by all levels of government."
4,Unit group,0414,Other managers in public administration,"Other managers in public administration plan, organize, direct, control and evaluate the development of policies and programs which govern the daily operations of legislatures and other activities unique to government such as intergovernmental affairs and elections. They are employed by all levels of government."
3,Minor group,042,Managers in education and social and community services,"This minor group includes education administrators, school principals and social, community and correctional services managers. They are employed by colleges, universities, vocational training schools, public and private elementary and secondary schools and school boards; social service and community agencies, correctional institutions, counselling departments, labour organizations, professional associations, political parties and non-governmental organizations."
4,Unit group,0421,Administrators - post-secondary education and vocational training,"Administrators in post-secondary education and vocational training include faculty administrators and registrars of colleges or universities and administrators of vocational training schools. Faculty administrators manage the academic and related activities of faculties of colleges or universities. Registrars manage registration activities and academic records systems of colleges or universities. Administrators of vocational training schools manage the operations of vocational schools specializing in trades, technology, business or other vocational subjects."
4,Unit group,0422,School principals and administrators of elementary and secondary education,"School principals plan, organize, direct, control and evaluate the activities of teachers and other staff of an elementary or secondary school. They are employed by public and private schools. Administrators of elementary and secondary education plan, organize, direct, control and evaluate the academic affairs of a school system. They are employed by school boards."
4,Unit group,0423,"Managers in social, community and correctional services","Managers in social, community and correctional services plan, organize, direct, control and evaluate the programs and activities of social service and community agencies, correctional institutions, counselling departments, labour organizations, professional associations, political parties and non-governmental organizations."
3,Minor group,043,Managers in public protection services,"This minor group includes commissioned police officers, fire chiefs, senior firefighting officers and commissioned officers of the Canadian Armed Forces. They are employed by municipal, provincial and federal governments and industrial establishments with firefighting services."
4,Unit group,0431,Commissioned police officers,"Commissioned police officers plan, organize, direct, control and evaluate police force administration and police activities such as maintaining law and order and detecting and preventing crime. They are employed by municipal, provincial and federal governments. This unit group includes officers from the rank of staff sergeant to police commissioner. Commissioned officers in the railway police are also included in this unit group."
4,Unit group,0432,Fire chiefs and senior firefighting officers,"Fire chiefs and senior firefighting officers plan, organize, direct, control and evaluate firefighting operations and fire prevention activities in fire departments. They are employed by municipal and federal governments and by industrial establishments with firefighting services."
4,Unit group,0433,Commissioned officers of the Canadian Armed Forces,"Commissioned officers of the Canadian Armed Forces plan, organize, command and evaluate the activities of personnel in the Canadian Armed Forces. All ranks of commissioned officers in the Royal Canadian Air Force, Canadian Army, and Royal Canadian Navy are included in this unit group."
3,Minor group,051,"Managers in art, culture, recreation and sport","This minor group includes library, archive, museum and art gallery managers; managers in publishing, motion pictures, broadcasting and performing arts; and recreation, sports and fitness program and service directors. They are employed by libraries, archives, museums and non-retail art galleries; radio and television stations; newspaper, periodical and book publishing firms; film, theatre, record and video production companies; and municipalities, community and private recreational and fitness organizations, sports governing agencies and professional athletic team organizations."
4,Unit group,0511,"Library, archive, museum and art gallery managers","Library, archive, museum and art gallery managers plan, organize, direct, control and evaluate the activities of libraries, archives, museums, art galleries or departments within such institutions. They are employed in libraries, archives, museums and non-retail art galleries."
4,Unit group,0512,"Managers - publishing, motion pictures, broadcasting and performing arts","Managers in publishing, motion pictures, broadcasting and performing arts plan, organize, direct, control and evaluate operations within publishing firms, film, theatre and record production companies and broadcasting facilities. They are employed by radio and television stations, by newspaper, periodical and book publishing firms, and by film, theatre, record and video production companies."
4,Unit group,0513,"Recreation, sports and fitness program and service directors","Recreation, sports and fitness program and service directors plan, organize, direct, control and evaluate the operations of comprehensive recreational, sports and fitness programs and services, national or provincial sports governing agencies and professional athletic teams. They are employed by municipalities, community and private recreational and fitness organizations, sports governing agencies and professional athletic team organizations."
2,Major group,06,Middle management occupations in retail and wholesale trade and customer services,"This major group comprises middle management occupations in retail and wholesale trade and customer services. It includes corporate sales managers and retail and wholesale trade managers, and managers in restaurant and food service, accommodation service, and customer and personal services, not elsewhere classified."
3,Minor group,060,Corporate sales managers,"This minor group includes corporate sales managers. They are employed by commercial, industrial and wholesale and retail trade establishments."
4,Unit group,0601,Corporate sales managers,"Corporate sales managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business and wholesale and retail sales. They are employed by commercial, industrial and wholesale and retail trade establishments."
3,Minor group,062,Retail and wholesale trade managers,This minor group includes retail and wholesale trade managers. They are employed by retail and wholesale sales establishments; or they may own and operate their own stores.
4,Unit group,0621,Retail and wholesale trade managers,"Retail and wholesale trade managers plan, organize, direct, control and evaluate the operations of establishments that sell merchandise or services on a retail or wholesale basis. They are employed by retail and wholesale sales establishments or they may own and operate their own store."
3,Minor group,063,Managers in food service and accommodation,"This minor group includes restaurant managers, food service managers and accommodation service managers. They are employed by food and beverage service establishments; and hotels, motels, resorts, student residences and other accommodation establishments; or they may be self-employed."
4,Unit group,0631,Restaurant and food service managers,"Restaurant and food service managers plan, organize, direct, control and evaluate the operations of restaurants, bars, cafeterias and other food and beverage services. They are employed in food and beverage service establishments, or they may be self-employed."
4,Unit group,0632,Accommodation service managers,"Accommodation service managers plan, organize, direct, control and evaluate the operations of an accommodation establishment or of a department within such an establishment. They are employed by hotels, motels, resorts, student residences and other accommodation establishments, or they may be self-employed."
3,Minor group,065,"Managers in customer and personal services, n.e.c.","This minor group includes managers in customer and personal services not elsewhere classified. They are employed by hairdressing salons, dry cleaners, residential cleaning services and other establishments that provide customer and personal services not elsewhere classified; and by schools that provide non-vocational instruction in driving, languages, music, dance, art, cooking and fashion."
4,Unit group,0651,"Managers in customer and personal services, n.e.c.","Managers in customer and personal services provide services such as dry cleaning, hairdressing or residential cleaning. This group also includes managers of schools that provide non-vocational instruction in driving, languages, music, dance, art, cooking or fashion."
2,Major group,07-09,"Middle management occupations in trades, transportation, production and utilities","This major group comprises middle management occupations in trades, transportation, production and utilities. It includes managers in construction, facility operation and maintenance, transportation, natural resources production, fishing, agriculture, horticulture, aquaculture, manufacturing and utilities."
3,Minor group,071,Managers in construction and facility operation and maintenance,"This minor group includes construction managers, home building managers, renovation managers, facility operations managers and maintenance managers. They are employed by residential, commercial, and industrial construction companies; construction departments of companies outside the construction industry; residential renovation companies; commercial, industrial, transportation, institutional, recreational, sports and other facilities; and maintenance and mechanical engineering departments of manufacturing and other industrial establishments; or they may own and operate their own businesses."
4,Unit group,0711,Construction managers,"Construction managers plan, organize, direct, control and evaluate the activities of a construction company or a construction department within a company, under the direction of a general manager or other senior manager. They are employed by residential, commercial and industrial construction companies and by construction departments of companies outside the construction industry."
4,Unit group,0712,Home building and renovation managers,"Home building managers own, operate and manage companies engaged in the construction of new residential homes. Home renovation managers own, operate and manage companies engaged in the renovation of existing residential homes."
4,Unit group,0714,Facility operation and maintenance managers,"Facility operation managers plan, organize, direct, control and evaluate the operations of commercial, transportation and recreational facilities and the included real estate. Facility operation managers are employed by a wide range of establishments, such as airports, harbours, canals, shopping centres, convention centres, warehouses and recreational facilities. Maintenance managers plan, organize, direct, control and evaluate the maintenance department within commercial, industrial, institutional, recreational and other facilities. Maintenance managers are employed by a wide range of establishments, such as office buildings, shopping centres, airports, harbours, warehouses, grain terminals, universities, schools and sports facilities, and by the maintenance and mechanical engineering departments of manufacturing and other industrial establishments."
3,Minor group,073,Managers in transportation,"This minor group includes transportation operations managers and transportation freight traffic managers. They are employed by transportation, freight forwarding and shipping companies and by transportation departments of companies in the retail and manufacturing sectors and utilities."
4,Unit group,0731,Managers in transportation,"Managers in transportation operations plan, organize, direct, control and evaluate the operations of transportation companies such as railways, airlines, bus lines, municipal transit systems, shipping lines and trucking companies, under the direction of a general manager or another senior manager. Managers in transportation freight traffic plan, organize, direct, control and evaluate companies or departments responsible for the transportation and movement of goods, under the direction of a general manager or another senior manager. They are employed by transportation, freight forwarding and shipping companies and by transportation departments of companies in retail and manufacturing sectors and utilities."
3,Minor group,081,Managers in natural resources production and fishing,"This minor group includes natural resources production managers and fishing managers. They are employed by establishments in forestry and logging, mining and quarrying, oil and gas drilling, production and servicing operations, and commercial fishing."
4,Unit group,0811,Managers in natural resources production and fishing,"Managers in natural resources production and fishing plan, organize, direct, control and evaluate the operations of establishments in forestry and logging, mining and quarrying, oil and gas drilling, production and servicing operations, and commercial fishing."
3,Minor group,082,"Managers in agriculture, horticulture and aquaculture","This minor group includes agriculture managers, horticulture managers and aquaculture managers. They are employed by farms, ranches and orchards; nurseries and greenhouses; and public and private fish hatcheries and commercial aquatic farms; or they may own and operate their own establishments; or they may be self-employed."
4,Unit group,0821,Managers in agriculture,"Managers in agriculture plan, organize, direct, control and evaluate the operations and functions of farms. They are responsible for growing crops, raising and breeding livestock, poultry and other animals and marketing farm products. They usually own and operate their own establishment."
4,Unit group,0822,Managers in horticulture,"Managers in horticulture plan, organize, direct and control the activities of nursery and greenhouse staff who grow and market trees, shrubs, flowers and plants."
4,Unit group,0823,Managers in aquaculture,"Managers in aquaculture manage operations of facilities which cultivate and harvest fish, shellfish or marine plants for replenishment of wildlife stocks or for commercial sale. They are employed by public or private fish hatcheries and commercial aquatic farms, or they may be self-employed."
3,Minor group,091,Managers in manufacturing and utilities,This minor group includes manufacturing managers and utilities managers and directors. They are employed by manufacturing companies and in public and private sector utilities and heating fuel distribution companies.
4,Unit group,0911,Manufacturing managers,"Manufacturing managers plan, organize, direct, control and evaluate the operations of a manufacturing establishment or of a production department within a manufacturing establishment, under the direction of a general manager or other senior manager. They are employed by manufacturing companies."
4,Unit group,0912,Utilities managers,"Utilities managers plan, organize, direct, control and evaluate the operations of utility companies or services of heating fuel distribution companies. The services provided include treatment of water and waste, distribution of water, electricity, natural gas and heating oil to residential, commercial and industrial consumers, waste disposal and waste recycling. They are employed in public and private sector utilities and in heating fuel distribution companies."
1,Broad occupational category,1,"Business, finance and administration occupations","Occupations in this category include financial and business services, administration and clerical supervision and support services. Some occupations in this category are unique to the financial and business services sectors; however, most are found in all industries. The professional occupations in this area such as accountants, investment brokers and human resources specialists are usually supplied from educational programs specific to the profession or occupation. Some administrative and business occupations are supplied from experienced workers in related clerical occupations."
2,Major group,11,Professional occupations in business and finance,"This major group comprises professional occupations in business and finance. It includes financial auditors, accountants, investment professionals, human resources professionals and business service professionals."
3,Minor group,111,"Auditors, accountants and investment professionals","This minor group includes financial auditors, accountants, financial and investment analysts, securities agents, investment dealers, brokers and other financial officers. They are employed by auditing and accounting firms; banks and insurance, underwriting, investment, fund management and trust companies; utility and manufacturing companies; stock brokerage firms, stock and commodity exchanges and other establishments in the securities industry; and throughout the public and private sectors; or they may be self-employed."
4,Unit group,1111,Financial auditors and accountants,"Financial auditors examine and analyze the accounting and financial records of individuals and establishments to ensure accuracy and compliance with established accounting standards and procedures. Accountants plan, organize and administer accounting systems for individuals and establishments. They are employed by auditing and accounting firms throughout the private and public sectors, or they may be self-employed. Articling students in accounting firms are included in this unit group."
4,Unit group,1112,Financial and investment analysts,"Financial and investment analysts collect and analyze financial information such as economic forecasts, trading volumes and the movement of capital, financial backgrounds of companies, historical performances and future trends of stocks, bonds and other investment instruments to provide financial and investment or financing advice for their company or their company's clients. Their studies and evaluations cover areas such as takeover bids, private placements, mergers or acquisitions. Financial analysts are employed by a wide range of establishments throughout the private and public sector, such as banks, brokerage houses, insurance companies, investment companies, manufacturing firms, trust companies, utility companies and underwriting firms. Investment analysts are employed primarily by brokerage houses and fund management companies."
4,Unit group,1113,"Securities agents, investment dealers and brokers","Securities agents and investment dealers buy and sell stocks, bonds, treasury bills, mutual funds and other securities for individual investors, pension fund managers, banks, trust companies, insurance firms and other establishments. Brokers buy and sell stocks, bonds, commodity futures, foreign currencies and other securities at stock exchanges on behalf of investment dealers. They are employed by investment companies, stock brokerage firms, stock and commodity exchanges and other establishments in the securities industry."
4,Unit group,1114,Other financial officers,"Other financial officers include professional occupations in finance such as financial planners, financial examiners and inspectors, financial investigators, financial underwriters, mortgage brokers and trust officers. They are employed by banks, trust companies, investment firms and governments, or they may be self-employed."
3,Minor group,112,Human resources and business service professionals,"This minor group includes human resources professionals, and those in professional occupations in business management consulting, advertising, marketing and public relations. They are employed by consulting firms, advertising agencies, corporations, associations, social agencies, museums, galleries, public interest groups and cultural and other organizations; and throughout the public and private sectors; or they may be self-employed."
4,Unit group,1121,Human resources professionals,"Human resources professionals develop, implement and evaluate human resources and labour relations policies, programs and procedures and advise employers and employees on human resources matters. They are employed throughout the private and public sectors, or they may be self-employed."
4,Unit group,1122,Professional occupations in business management consulting,"Professionals in business management consulting provide services to management such as analyzing the structure, operations, managerial methods or functions of an organization in order to propose, plan and implement improvements. They are employed by management consulting firms and throughout the public and private sectors or are self-employed."
4,Unit group,1123,"Professional occupations in advertising, marketing and public relations","Professionals in advertising, marketing and public relations analyse, develop and implement communication and promotion strategies and information programs, analyse advertising needs and develop appropriate advertising and marketing plans, publicize activities and events, and maintain media relations on behalf of businesses, governments and other organizations, and for performers, athletes, writers and other talented individuals. They are employed by consulting firms, advertising agencies, corporations, associations, government, social agencies, museums, galleries, public interest groups, and cultural and other organizations, or they may be self-employed. Agents such as entertainment, literary and sports agents are included in this unit group."
2,Major group,12,Administrative and financial supervisors and administrative occupations,"This major group comprises administrative and financial supervisors and administrative occupations usually requiring completion of secondary school, a related university degree, college diploma or specialized training course and up to several years of related work experience. It includes administrative services supervisors; administrative and regulatory occupations; office administrative assistants; and court reporters, transcriptionists, records management technicians and statistical officers."
3,Minor group,121,Administrative services supervisors,"This minor group includes supervisors of general office and administrative support workers; supervisors of finance and insurance office workers; supervisors of library, correspondence and related information workers; supervisors of those in mail and message distribution occupations; and supervisors of those in supply chain, tracking and scheduling co-ordination occupations. They are employed by banks, other financial institutions, insurance companies, Canada Post Corporation, courier companies; and throughout the public and private sectors."
4,Unit group,1211,"Supervisors, general office and administrative support workers",Supervisors of general office and administrative support workers supervise and co-ordinate the activities of workers in the following minor groups: General Office Workers (141) and Office Equipment Operators (142). They are employed throughout the public and private sectors.
4,Unit group,1212,"Supervisors, finance and insurance office workers","Supervisors of finance and insurance office workers supervise and co-ordinate the activities of workers in the following unit groups: Accounting and related clerks (1431), Payroll administrators (1432), Banking, insurance and other financial clerks (1434) and Collectors (1435). They are employed by banks and other financial institutions, insurance companies, and by other establishments throughout the private and public sectors."
4,Unit group,1213,"Supervisors, library, correspondence and related information workers","Supervisors of library, correspondence and related information workers supervise and co-ordinate the activities of workers in the following unit groups: Library Assistants and Clerks (1451), Correspondence, Publication and Regulatory Clerks (1452) and Survey Interviewers and Statistical Clerks (1454). They are employed throughout the public and private sectors."
4,Unit group,1214,"Supervisors, mail and message distribution occupations","Supervisors of workers in mail and message distribution supervise and co-ordinate the activities of workers in the following minor groups: Mail and message distribution occupations (151). They are employed by Canada Post Corporation, courier companies, governments and large corporations."
4,Unit group,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations","Supervisors of supply chain, tracking and scheduling co-ordination occupations supervise and co-ordinate the activities of workers in the following minor group: Supply chain logistics, tracking and scheduling co-ordination occupations (152). They are employed throughout the public and private sectors."
3,Minor group,122,Administrative and regulatory occupations,"This minor group includes administrative officers, executive assistants, human resources and recruitment officers, property administrators, purchasing agents and officers, conference and event planners, court officers, justices of the peace and employment insurance, immigration, border services and revenue officers. They are employed by governments, government agencies, corporations and associations; property, real estate and strata services management companies and property development companies; convention and conference centres and conference and event planning companies; and federal and provincial courts; or they may be self-employed."
4,Unit group,1221,Administrative officers,"Administrative officers oversee and implement administrative procedures, establish work priorities, conduct analyses of administrative operations and co-ordinate acquisition of administrative services such as office space, supplies and security services. They are employed throughout the public and private sectors. Administrative officers who are supervisors are included in this unit group."
4,Unit group,1222,Executive assistants,"Executive assistants co-ordinate administrative procedures, public relations activities and research and analysis functions for members of legislative assemblies, ministers, deputy ministers, corporate officials and executives, committees and boards of directors. They are employed by governments, corporations and associations."
4,Unit group,1223,Human resources and recruitment officers,"Human resources and recruitment officers identify and advertise job vacancies, recruit candidates, and assist in the selection and reassignment of employees. They are employed throughout the private and public sectors."
4,Unit group,1224,Property administrators,"Property administrators perform administrative duties and co-ordinate activities related to the management and rental of investment property and real estate on behalf of property and strata property owners. They are employed by property, real estate and strata services management companies, property development companies and by government."
4,Unit group,1225,Purchasing agents and officers,"Purchasing agents and officers purchase general and specialized equipment, materials, land or access rights and business services for use or for further processing by their establishment. They are employed throughout the public and private sectors."
4,Unit group,1226,Conference and event planners,"Conference and event planners plan, organize and co-ordinate conferences, conventions, meetings, seminars, exhibitions, trade shows, festivals and other events. They are employed by tourism associations, trade and professional associations, convention and conference centres, governments and by conference and event planning companies, or they may be self-employed."
4,Unit group,1227,Court officers and justices of the peace,"Court officers co-ordinate the administrative and procedural functions of federal, provincial and territorial courts, such as scheduling trials and overseeing the maintenance of court records. Justices of the peace administer oaths, issue subpoenas, summonses and warrants and perform other court-related duties such as conducting bail hearings. They are employed by federal, provincial and territorial courts."
4,Unit group,1228,"Employment insurance, immigration, border services and revenue officers","Employment insurance, immigration, border services and revenue officers administer and enforce laws and regulations related to immigration, customs, border crossing, tax revenue, employment insurance and other government benefit services. They are employed by government agencies."
3,Minor group,124,"Office administrative assistants - general, legal and medical","This minor group includes administrative assistants, legal administrative assistants and medical administrative assistants. They are employed in law offices, legal departments of large firms, real estate companies, land title offices, and municipal, provincial and federal courts; doctor's offices, hospitals, medical clinics and other medical settings; and throughout the public and private sectors."
